"Book","ChapterNum","ChapterHeb","Date"
"יהושע","19","י״ט","14.6.2026"
"יהושע","20","כ׳","15.6.2026"
"יהושע","21","כ״א","16.6.2026"
"יהושע","22","כ״ב","17.6.2026"
"יהושע","23","כ״ג","18.6.2026"
"יהושע","24","כ״ד","21.6.2026"
"שופטים","1","א׳","22.6.2026"
"שופטים","2","ב׳","23.6.2026"
"שופטים","3","ג׳","24.6.2026"
"שופטים","4","ד׳","25.6.2026"
"שופטים","5","ה׳","28.6.2026"
"שופטים","6","ו׳","29.6.2026"
"שופטים","7","ז׳","30.6.2026"
"שופטים","8","ח׳","1.7.2026"
"שופטים","9","ט׳","2.7.2026"
"שופטים","10","י׳","5.7.2026"
"שופטים","11","י״א","6.7.2026"
"שופטים","12","י״ב","7.7.2026"
"שופטים","13","י״ג","8.7.2026"
"שופטים","14","י״ד","9.7.2026"
"שופטים","15","ט״ו","12.7.2026"
"שופטים","16","ט״ז","13.7.2026"
"שופטים","17","י״ז","14.7.2026"
"שופטים","18","י״ח","15.7.2026"
"שופטים","19","י״ט","16.7.2026"
"שופטים","20","כ׳","19.7.2026"
"שופטים","21","כ״א","20.7.2026"
"שמואל א׳","1","א׳","21.7.2026"
"שמואל א׳","2","ב׳","22.7.2026"
"שמואל א׳","3","ג׳","23.7.2026"
"שמואל א׳","4","ד׳","26.7.2026"
"שמואל א׳","5","ה׳","27.7.2026"
"שמואל א׳","6","ו׳","28.7.2026"
"שמואל א׳","7","ז׳","29.7.2026"
"שמואל א׳","8","ח׳","30.7.2026"
"שמואל א׳","9","ט׳","2.8.2026"
"שמואל א׳","10","י׳","3.8.2026"
"שמואל א׳","11","י״א","4.8.2026"
"שמואל א׳","12","י״ב","5.8.2026"
"שמואל א׳","13","י״ג","6.8.2026"
"שמואל א׳","14","י״ד","9.8.2026"
"שמואל א׳","15","ט״ו","10.8.2026"
"שמואל א׳","16","ט״ז","11.8.2026"
"שמואל א׳","17","י״ז","12.8.2026"
"שמואל א׳","18","י״ח","13.8.2026"
"שמואל א׳","19","י״ט","16.8.2026"
"שמואל א׳","20","כ׳","17.8.2026"
"שמואל א׳","21","כ״א","18.8.2026"
"שמואל א׳","22","כ״ב","19.8.2026"
"שמואל א׳","23","כ״ג","20.8.2026"
"שמואל א׳","24","כ״ד","23.8.2026"
"שמואל א׳","25","כ״ה","24.8.2026"
"שמואל א׳","26","כ״ו","25.8.2026"
"שמואל א׳","27","כ״ז","26.8.2026"
"שמואל א׳","28","כ״ח","27.8.2026"
"שמואל א׳","29","כ״ט","30.8.2026"
"שמואל א׳","30","ל׳","31.8.2026"
"שמואל א׳","31","ל״א","1.9.2026"
"שמואל ב׳","1","א׳","2.9.2026"
"שמואל ב׳","2","ב׳","3.9.2026"
"שמואל ב׳","3","ג׳","6.9.2026"
"שמואל ב׳","4","ד׳","7.9.2026"
"שמואל ב׳","5","ה׳","8.9.2026"
"שמואל ב׳","6","ו׳","9.9.2026"
"שמואל ב׳","7","ז׳","10.9.2026"
"שמואל ב׳","8","ח׳","13.9.2026"
"שמואל ב׳","9","ט׳","14.9.2026"
"שמואל ב׳","10","י׳","15.9.2026"
"שמואל ב׳","11","י״א","16.9.2026"
"שמואל ב׳","12","י״ב","17.9.2026"
"שמואל ב׳","13","י״ג","20.9.2026"
"שמואל ב׳","14","י״ד","21.9.2026"
"שמואל ב׳","15","ט״ו","22.9.2026"
"שמואל ב׳","16","ט״ז","23.9.2026"
"שמואל ב׳","17","י״ז","24.9.2026"
"שמואל ב׳","18","י״ח","27.9.2026"
"שמואל ב׳","19","י״ט","28.9.2026"
"שמואל ב׳","20","כ׳","29.9.2026"
"שמואל ב׳","21","כ״א","30.9.2026"
"שמואל ב׳","22","כ״ב","1.10.2026"
"שמואל ב׳","23","כ״ג","4.10.2026"
"שמואל ב׳","24","כ״ד","5.10.2026"
"מלכים א׳","1","א׳","6.10.2026"
"מלכים א׳","2","ב׳","7.10.2026"
"מלכים א׳","3","ג׳","8.10.2026"
"מלכים א׳","4","ד׳","11.10.2026"
"מלכים א׳","5","ה׳","12.10.2026"
"מלכים א׳","6","ו׳","13.10.2026"
"מלכים א׳","7","ז׳","14.10.2026"
"מלכים א׳","8","ח׳","15.10.2026"
"מלכים א׳","9","ט׳","18.10.2026"
"מלכים א׳","10","י׳","19.10.2026"
"מלכים א׳","11","י״א","20.10.2026"
"מלכים א׳","12","י״ב","21.10.2026"
"מלכים א׳","13","י״ג","22.10.2026"
"מלכים א׳","14","י״ד","25.10.2026"
"מלכים א׳","15","ט״ו","26.10.2026"
"מלכים א׳","16","ט״ז","27.10.2026"
"מלכים א׳","17","י״ז","28.10.2026"
"מלכים א׳","18","י״ח","29.10.2026"
"מלכים א׳","19","י״ט","1.11.2026"
"מלכים א׳","20","כ׳","2.11.2026"
"מלכים א׳","21","כ״א","3.11.2026"
"מלכים א׳","22","כ״ב","4.11.2026"
"מלכים ב׳","1","א׳","5.11.2026"
"מלכים ב׳","2","ב׳","8.11.2026"
"מלכים ב׳","3","ג׳","9.11.2026"
"מלכים ב׳","4","ד׳","10.11.2026"
"מלכים ב׳","5","ה׳","11.11.2026"
"מלכים ב׳","6","ו׳","12.11.2026"
"מלכים ב׳","7","ז׳","15.11.2026"
"מלכים ב׳","8","ח׳","16.11.2026"
"מלכים ב׳","9","ט׳","17.11.2026"
"מלכים ב׳","10","י׳","18.11.2026"
"מלכים ב׳","11","י״א","19.11.2026"
"מלכים ב׳","12","י״ב","22.11.2026"
"מלכים ב׳","13","י״ג","23.11.2026"
"מלכים ב׳","14","י״ד","24.11.2026"
"מלכים ב׳","15","ט״ו","25.11.2026"
"מלכים ב׳","16","ט״ז","26.11.2026"
"מלכים ב׳","17","י״ז","29.11.2026"
"מלכים ב׳","18","י״ח","30.11.2026"
"מלכים ב׳","19","י״ט","1.12.2026"
"מלכים ב׳","20","כ׳","2.12.2026"
"מלכים ב׳","21","כ״א","3.12.2026"
"מלכים ב׳","22","כ״ב","6.12.2026"
"מלכים ב׳","23","כ״ג","7.12.2026"
"מלכים ב׳","24","כ״ד","8.12.2026"
"מלכים ב׳","25","כ״ה","9.12.2026"
"ישעיהו","1","א׳","10.12.2026"
